"gender"	"SeniorCitizen"	"Partner"	"Dependents"	"tenure"	"PaperlessBilling"	"Churn"
"Female"	0	"Yes"	"No"	1	"Yes"	"No"
"Male"	0	"No"	"No"	34	"No"	"No"
"Male"	0	"No"	"No"	1	"Yes"	"Yes"
"Male"	0	"No"	"No"	45	"No"	"No"
"Female"	0	"No"	"No"	1	"Yes"	"Yes"
"Female"	0	"No"	"No"	1	"Yes"	"Yes"
"Male"	0	"No"	"Yes"	22	"Yes"	"No"
"Female"	0	"No"	"No"	10	"No"	"No"
"Female"	0	"Yes"	"No"	28	"Yes"	"Yes"
"Male"	0	"No"	"Yes"	62	"No"	"No"
"Male"	0	"Yes"	"Yes"	13	"Yes"	"No"
"Male"	0	"No"	"No"	16	"No"	"No"
"Male"	0	"Yes"	"No"	58	"No"	"No"
"Male"	0	"No"	"No"	49	"Yes"	"Yes"
"Male"	0	"No"	"No"	25	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	69	"No"	"No"
"Female"	0	"No"	"No"	52	"No"	"No"
"Male"	0	"No"	"Yes"	71	"No"	"No"
"Female"	0	"Yes"	"Yes"	10	"No"	"Yes"
"Female"	0	"No"	"No"	21	"Yes"	"No"
"Male"	1	"No"	"No"	1	"Yes"	"Yes"
"Male"	0	"Yes"	"No"	12	"No"	"No"
"Male"	0	"No"	"No"	1	"No"	"Yes"
"Female"	0	"Yes"	"No"	58	"Yes"	"No"
"Male"	0	"Yes"	"Yes"	49	"No"	"No"
"Female"	0	"No"	"No"	30	"Yes"	"No"
"Male"	0	"Yes"	"Yes"	47	"Yes"	"Yes"
"Male"	0	"Yes"	"Yes"	1	"No"	"Yes"
"Male"	0	"Yes"	"No"	72	"Yes"	"No"
"Female"	0	"No"	"Yes"	17	"Yes"	"Yes"
"Female"	1	"Yes"	"No"	71	"Yes"	"No"
"Male"	1	"Yes"	"No"	2	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	27	"No"	"No"
"Male"	0	"No"	"No"	1	"No"	"No"
"Male"	1	"No"	"No"	1	"No"	"No"
"Female"	0	"Yes"	"Yes"	72	"No"	"No"
"Male"	0	"No"	"No"	5	"Yes"	"Yes"
"Female"	0	"No"	"No"	46	"Yes"	"No"
"Male"	0	"No"	"No"	34	"Yes"	"Yes"
"Female"	0	"No"	"No"	11	"Yes"	"Yes"
"Male"	0	"Yes"	"Yes"	10	"No"	"No"
"Female"	0	"Yes"	"Yes"	70	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	17	"No"	"No"
"Female"	0	"No"	"No"	63	"Yes"	"No"
"Female"	0	"Yes"	"No"	13	"Yes"	"No"
"Female"	0	"No"	"No"	49	"Yes"	"No"
"Male"	0	"No"	"No"	2	"No"	"No"
"Female"	0	"No"	"No"	2	"Yes"	"Yes"
"Male"	0	"No"	"No"	52	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	69	"Yes"	"No"
"Female"	1	"No"	"No"	43	"Yes"	"No"
"Female"	0	"No"	"No"	15	"Yes"	"Yes"
"Female"	1	"Yes"	"No"	25	"Yes"	"No"
"Female"	1	"Yes"	"No"	8	"Yes"	"Yes"
"Female"	1	"Yes"	"Yes"	60	"Yes"	"No"
"Male"	1	"No"	"No"	18	"Yes"	"Yes"
"Female"	0	"Yes"	"Yes"	63	"Yes"	"No"
"Male"	1	"Yes"	"Yes"	66	"Yes"	"No"
"Female"	0	"Yes"	"Yes"	34	"No"	"No"
"Female"	0	"No"	"No"	72	"Yes"	"No"
"Female"	0	"Yes"	"No"	47	"Yes"	"No"
"Male"	0	"No"	"No"	60	"Yes"	"No"
"Male"	0	"Yes"	"No"	72	"No"	"No"
